,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
152,Express Employment Professionals,40.5161628,-80.037966,"1006 W View Park Dr, Pittsburgh",,,,,1.0,,https://www.expresspros.com/npittsburghpa/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo
153,Family Care Connection Lawrenceville - Food Distribution Center,40.4812553,-79.9540091,"5235 Butler St, Pittsburgh",,1.0,,,,,
154,Family House Inc.,40.4553914,-79.9451826,"5001 Baum Blvd #545, Pittsburgh",,,,1.0,,,http://www.familyhouse.org/
155,Family House Shadyside,40.4557409,-79.94002100000002,"5245 Centre Ave, Pittsburgh",,,,1.0,,,http://www.familyhouse.org/
156,Family House University Place,40.4440025,-79.9568269,"116 Thackeray Ave, Pittsburgh",,,,1.0,,,http://www.familyhouse.org/
157,Family Promise of Southwestern PA,40.4386239,-80.06447030000001,"7 Oregon Ave, Pittsburgh",,,,1.0,,,http://www.familypromiseswpa.org/
158,"Familylinks, Inc",40.4581244,-79.9224814,"250 Shady Ave, Pittsburgh",,,,1.0,,,http://www.familylinks.org/
159,"Familylinks, Inc.",40.4650764,-79.9237823,"401 N Highland Ave, Pittsburgh",,,,1.0,,,https://familylinks.org/
160,"Familylinks, Inc.",40.4385874,-79.9838299,"1601 Fifth Ave, Pittsburgh",,,,1.0,,,http://www.familylinks.org/
161,First Source Center,40.4436588,-79.980494,"1835 Centre Ave, Pittsburgh",,,,,1.0,,https://www.lowerhillredevelopment.com/first-source-center.html
162,"Fishes and Loaves Cooperative Ministries,",40.407554,-79.942005,"131 E Elizabeth St, Pittsburgh",,1.0,,,,,https://fishes-and-loaves-hazelwood.org/
163,Food Distribution Center - Penn Hills Service Association,40.4709461,-79.78888239999999,"2519 Main St, Pittsburgh",,1.0,,,,,
164,Food Pantry,40.4580489,-80.01639689999999,"1601 Brighton Rd, Pittsburgh",,1.0,,,,,http://www.ncmin.org/
165,Foster Love Project,40.4417263,-79.8920686,"463 S Trenton Ave, Pittsburgh",,,,1.0,,,http://fosterloveproject.org/
166,Fred C Brady Memorial Library,40.4361368,-79.9852854,"1400 Locust St, Pittsburgh",,,,,1.0,,
167,Free People,40.4572086,-79.9164697,"6425 Penn Ave, Pittsburgh",,,1.0,,,,https://www.freepeople.com/stores/bakery-square-pittsburgh/
168,Free People,40.5436329,-80.007846,"Ross Park Mall, 1000 Ross Park Mall Dr, Pittsburgh",,,1.0,,,,https://www.freepeople.com/stores/ross-park-pittsburgh/
169,Free Store Wilkinsburg,40.4439682,-79.8850798,"619 Penn Ave, Pittsburgh",1.0,,1.0,,,,https://www.freestorewilkinsburg.org/
170,Fulton Commons,40.4560928,-80.0249786,"1546 Fulton St, Pittsburgh",,1.0,,,,,http://fultonpgh.com/
171,Garden Dreams Urban Farm & Nursery,40.4384167,-79.8836305,"806 Holland Ave, Pittsburgh",,1.0,,,,,http://growpittsburgh.org/gardendreams
172,Garden Resource Center - Grow Pittsburgh,40.4596865,-79.9126374,"147 Putnam St, Pittsburgh",,1.0,,,,,http://www.growpittsburgh.org/garden-and-farm-resources/garden-resource-center/
173,Garden of Etna,40.496077,-79.945871,"9 Short Alley, Pittsburgh",,1.0,,,,,
174,Garfield Community Farm,40.4690683,-79.9351849,"509 Wicklow St, Pittsburgh",,1.0,,,,,http://garfieldfarm.com/
