,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
294,Oasis Community Kitchen,40.4561534,-79.89709839999999,"717 N Homewood Ave, Pittsburgh",,1.0,,,,,http://www.oasiscommunitykitchen.org/
295,Oh Snap Studio,40.8344701,-79.9218625,"184 Pittsburgh Rd, Butler",,1.0,,,,,
296,Olde Allegheny Community Gardens,40.4567761,-80.0099546,"1314 Sherman Ave, Pittsburgh",,1.0,,,,,
297,Ormsby Community Recreation Center,40.4290834,-79.9743854,"79 S 22nd St, Pittsburgh",,,,,1.0,,http://pittsburghpa.gov/citiparks/ormsby
298,Orr Compassionate Care Center,40.462942,-79.92306099999999,"6023 Harvard St # 2, Pittsburgh",,,,1.0,,,
299,Oval Shelter,40.4312029,-79.9441739,Pittsburgh,,,,1.0,,,https://registerparks.pittsburghpa.gov/Facilities.aspx?id=14
300,PA CareerLink Allegheny East,40.4204862,-79.8520735,"2040 Ardmore Blvd, Pittsburgh",,,,,1.0,,http://www.careerlinkpittsburgh.com/
301,PADCO Project Care,40.4442344,-79.9887455,"1435 Bedford Ave, Pittsburgh",,,,,1.0,,https://padcoprojectcare.com/
302,PCSI,40.4513675,-79.95182659999999,"249 N Craig St, Pittsburgh",,1.0,,,1.0,,https://www.pghcsi.org/
303,PGH Equality Center,40.4566385,-79.9380702,"5401 Centre Ave Room 103, Pittsburgh",,,,1.0,,,http://www.pghequalitycenter.org/
304,Pancoast Staffing Services Inc,40.4415335,-80.00281799999999,"Two Gateway Center, 603 Stanwix St, Pittsburgh",,,,,1.0,,http://www.pancoast.com/
305,Partner4Work,40.442483,-79.996695,"650 Smithfield St # 2600, Pittsburgh",,,,,1.0,,http://www.partner4work.org/
306,Pennsylvania CareerLink Pittsburgh/Allegheny County,40.4389465,-80.0012185,"304 Wood St, Pittsburgh",,,,,1.0,,http://www.careerlinkpittsburgh.com/
307,Pennsylvania Women Work,40.442483,-79.996695,"650 Smithfield St #520, Pittsburgh",,,,1.0,1.0,,http://www.pawomenwork.org/
308,PeopleReady,40.4659911,-79.970692,"19 35th St, Pittsburgh",,,,,1.0,,https://www.peopleready.com/location/pittsburgh-pa-1740?utm_campaign=gmb&utm_medium=organic&utm_source=google
309,PeopleShare,40.424673,-80.03764869999999,"11 Parkway Center Dr S Suite 105, Pittsburgh",,,,,1.0,,http://www.peopleshareworks.com/
310,Physics Geology Planetary Library,40.445006,-79.958114,"208 Engineering Dept. Dr, Pittsburgh",,,,,1.0,,
311,Pittsbugh Community Center Inc,40.442537,-79.983015,"1801 Centre Ave, Pittsburgh",,,,,1.0,,
312,Pittsburgh Adult Rehabilitation Center,40.4292633,-79.9899714,"44 S 9th St, Pittsburgh",1.0,,,,,,https://satruck.org/
313,Pittsburgh Blindness & Visual Services,40.4426507,-80.00286659999999,"531 Penn Ave, Pittsburgh",,,,,1.0,,
314,Pittsburgh Career Institute,40.4426737,-79.995898,"421 Seventh Ave, Pittsburgh",,,,,1.0,,https://pci.edu/?utm_source=google&utm_medium=gmb
315,Pittsburgh Cares,40.4642142,-79.96640889999999,"3505 Butler St, Pittsburgh",,1.0,,1.0,,,http://www.pittsburghcares.org/
316,Pittsburgh Donation Center,40.377679,-79.9887751,"2790 Saw Mill Run Blvd, Pittsburgh",1.0,,,,,,https://www.zicknacks.com/donation-drop-off
317,Pittsburgh Job Corps Center,40.4769859,-79.9026794,"7175 Highland Dr, Pittsburgh",,,,,1.0,,http://pjceducation.org/
318,Pittsburgh Mercy,40.4484536,-80.01997589999999,"1200 Reedsdale St, Pittsburgh",,,,1.0,,,http://www.pittsburghmercy.org/
319,Pittsburgh Mercy Alternative Training & Employment Center,40.4543769,-79.9483211,"4749 Baum Blvd, Pittsburgh",,,,,1.0,,https://www.pittsburghmercy.org/intellectual-disabilities/employment-services/
320,Plato's Closet Pittsburgh,40.5382201,-80.0133084,"7219 McKnight Rd, Pittsburgh",1.0,,,,,,http://www.platosclosetmcknight.com/
321,Pleasant Valley Men's Shelter,40.458054,-80.016323,"1601 Brighton Rd, Pittsburgh",,,,1.0,,,http://www.ncmin.org/pleasant-valley-mens-shelter
322,Plum Food Pantry,40.4638944,-79.703709,"81 Sandune Dr, Pittsburgh",,1.0,,,,,http://www.plumfoodpantry.org/
323,Pnc Community Development Corporation,40.4468383,-79.94866569999999,"4600 Fifth Ave, Pittsburgh",,,,,1.0,,https://www.pnc.com/en/about-pnc/corporate-responsibility/community-dev-banking.html
324,Positivity Garden,40.41598870000001,-79.9918223,"223 Zara St, Pittsburgh",,1.0,,,,,
325,ProLink Staffing,40.4200927,-80.0528375,"381 Mansfield Ave Suite 301, Pittsburgh",,,,,1.0,,https://staffing-agency-pittsburgh.business.site/?utm_source=gmb&utm_medium=referral
326,Project Star At Children's,40.4413721,-79.891435,"467 S Trenton Ave, Pittsburgh",,,,1.0,,,https://www.amazingkids.org/
327,Prospect Shelter,40.4312432,-79.9351002,"Prospect Dr, Pittsburgh",,,,1.0,,,https://pittsburghpa.gov/park-shelter/reserve
328,Prospect Terrace Knowledge,40.4036087,-79.8345968,"99 Prospect St, East Pittsburgh",,,,,1.0,,
329,Proud Haven,40.453506,-79.99999369999999,"517 E Ohio St, Pittsburgh",,,,1.0,,,https://www.proudhaven.org/
330,Public Welfare Department,40.44252700000001,-79.9966305,"610 Wood St, Pittsburgh",,1.0,,,,,
331,QNS Recruiting,40.4931109,-79.86898029999999,"260 Alpha Dr, Pittsburgh",,,,,1.0,,http://www.qnsrecruiting.com/
332,Quick Train for Jobs,40.4204862,-79.8520735,"2040 Ardmore Blvd, Pittsburgh",,,,,1.0,,http://www.quicktrainforjobs.com/pagecontent/index/6
333,Reemployment Transition Center,40.4398883,-80.0000136,"332 Fifth Ave #610, Pittsburgh",,,,,1.0,,
334,Regional Industrial Development Corporation,40.4414298,-79.996201,"210 Sixth Ave, Pittsburgh",,,,,1.0,,http://ridc.org/
335,Rescue and Relax,40.4323271,-79.8844357,"117 Edgewood Ave, Pittsburgh",,,,1.0,,,http://rescueandrelax.com/
336,Riverview Park Chapel Shelter,40.4786286,-80.01978749999999,"366 Riverview Ave, Pittsburgh",,,,1.0,,,https://www.pittsburghparks.org/projects/riverview-park-chapel-shelter
337,Riverview Presbyterian - Food Distribution Center,40.5319999,-79.99396,"134 Sunset Dr, Pittsburgh",,1.0,,,,,
338,Riverview United Presbyterian- Food Distribution Center,40.484128,-80.014404,"3505 Perrysville Ave, Pittsburgh",,1.0,,,,,https://www.riverviewpresbyterian.org/
339,Robert Half Recruiters & Employment Agency,40.4443579,-79.9945772,"1001 Liberty Ave Suite 400, Pittsburgh",,,,,1.0,,https://www.roberthalf.com/locations/pa-pittsburgh/1001-liberty-avenue?utm_source=gmb_listing&utm_medium=organic&utm_campaign=local_listing&y_source=1_MTI5MDM1NzktNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
340,SHAPE Training,40.46154,-79.9261349,"5916 Penn Ave, Pittsburgh",,,,,1.0,,https://freetrial.shapetrain.com/
341,SWISSHELM PARK COMMUNITY CENTER,40.4244434,-79.9013163,"1050 Windermere Dr, Pittsburgh",,,,,1.0,,https://pittsburghcontra.org/2017/12/06/announcement-on-dance-location/
342,Saint Mary Assumption - Sharpsburg Site - Food Distribution Center,40.4955377,-79.93604619999999,"Altmayer St, Pittsburgh",,1.0,,,,,
343,Saint Paul Cathedral Food Pantry - Food Distribution Center,40.4471608,-79.9505097,"108 N Dithridge St, Pittsburgh",,1.0,,,,,
344,Sankofa Village Community Garden,40.4505795,-79.8909491,"Susquehanna St and N, Brushton Ave, Pittsburgh",,1.0,,,,,https://www.svcgpgh.com/
345,Second Harvest Community Thrift Store,40.4951852,-79.9346934,"624 Clay St, Pittsburgh",1.0,,,,,,http://www.secondharvestthrift.com/
346,Self Sufficiency,40.4091203,-79.9731402,"930 Cresswell St, Pittsburgh",,1.0,,,,,
347,Shadyside Counseling Services,40.4495604,-79.9337674,"5425 Kentucky Ave, Pittsburgh",,,,,1.0,,
348,Sharpsburg Community Garden,40.4947075,-79.930171,"203 Benson Way, Pittsburgh",,1.0,,,,,https://www.growpittsburgh.org/directory/garden/sharpsburg-community-garden
349,Sharpsburg Community Library,40.4943603,-79.9302293,"1212 Main St, Pittsburgh",,,,,1.0,,http://www.coopersiegelcommunitylibrary.org/sharpsburg/
350,Sharpsburg Market Garden,40.495118,-79.9293921,"124 13th St, Pittsburgh",,1.0,,,,,
351,Sharpsburg Recreation Center,40.49523,-79.9312461,"205 N Canal St, Pittsburgh",,,,,1.0,,
352,Shepherd’s Heart,40.4380143,-79.9849898,"13 Pride St, Pittsburgh",,,,1.0,,,https://shepheart.org/
353,Sheridan Avenue Orchard and Garden,40.4637472,-79.92173,"316-332 Sheridan Ave, Pittsburgh",,1.0,,,,,https://werepair.org/pittsburgh/
354,Shiloh Center,40.4636915,-79.9599343,"3832 Mintwood St, Pittsburgh",,,,,1.0,,https://shiloh-center.business.site/
355,Smithfield United Church of Christ,40.4418667,-79.9973002,"Smithfield Building, 620 Smithfield St, Pittsburgh",,,,1.0,,,http://smithfieldchurch.org/
356,Snap Fitness Etna,40.5003804,-79.943214,"550 Butler St, Pittsburgh",,1.0,,,,,https://www.snapfitness.com/us/gyms/etna-pa/?utm_source=google&utm_medium=organic&utm_campaign=business-listing
357,Snap Fitness Pittsburgh (McKnight Rd),40.517797,-80.00569399999999,"4721 McKnight Rd, Pittsburgh",,1.0,,,,,https://www.snapfitness.com/us/gyms/pittsburgh-mcknight-rd-pa/?utm_source=google&utm_medium=organic&utm_campaign=business-listing
358,SnapRetail,40.45080069999999,-80.00369669999999,"100 S Commons #102, Pittsburgh",,1.0,,,,,http://snapretail.com/
359,Sojourner House,40.4641819,-79.9333922,"5460 Penn Ave, Pittsburgh",,,,1.0,,,https://www.sojournerhousepa.org/
360,South Park Community House,40.3158957,-79.9988741,"Maple Springs Dr, Pittsburgh",,1.0,,,,,http://alleghenycounty.us/parks/south-park/index.aspx
361,Southwest Pittsburgh CDC,40.453936,-80.00869039999999,"1004 Arch St, Pittsburgh",,,,,1.0,,
362,Spartan Community Center of Hazelwood,40.4071807,-79.9419097,"134 E Elizabeth St, Pittsburgh",,,,,1.0,,http://www.spartancenter.org/
363,Springdale WIC,40.5410926,-79.7786431,"830 Pittsburgh St, Springdale",,1.0,,,,,http://www.achd.net/wic/
364,St Joseph's House-Hospitality,40.4447822,-79.9867782,"1635 Bedford Ave, Pittsburgh",,,,1.0,,,
365,St. Vincent de Paul Society - Main Office,40.449239,-80.02721799999999,"1501 Reedsdale St #3003, Pittsburgh",1.0,,,,,,http://www.svdppitt.org/
366,St. Vincent de Paul Society - Thrift Store,40.366735,-80.013733,"3423 Library Rd, Pittsburgh",1.0,,,,,,http://www.svdppitt.org/
367,Style Encore North Hills,40.5697392,-80.0209329,"750 Providence Blvd, Pittsburgh",1.0,,,,,,http://www.style-encorenorthhills.com/
368,Swissvale Community Food Pantry,40.4209148,-79.88602130000001,"2028 Noble St, Pittsburgh",,1.0,,,,,https://swissvalefoodpantry.org/
369,Swissvale Community Garden,40.4172977,-79.8905486,"7301 Denniston Ave, Pittsburgh",,1.0,,,,,https://swissvale.org/swissvale-community-garden
370,Synerfac Technical Staffing,40.4286737,-79.8113226,"201 Penn Center Blvd, Pittsburgh",,,,,1.0,,https://www.synerfac.com/
371,TEKsystems,40.4308846,-80.1267171,"8 Penn Center, West Drive Suite 200, Pittsburgh",,,,,1.0,,https://www.teksystems.com/
372,Teacher Excellence Center,40.4425231,-79.9972639,"635 Smithfield St, Pittsburgh",,,,,1.0,,
373,The Broom Closet,40.3815497,-79.99869149999999,"2544 Library Rd #106, Pittsburgh",1.0,,,,,,http://www.broomclosetpittsburgh.com/
374,The Center for Women,40.43909,-79.923373,"1620 Murray Ave, Pittsburgh",,,,1.0,,,
375,The Children's Home of Pittsburgh & Lemieux Family Center,40.4642045,-79.9374887,"5324 Penn Ave, Pittsburgh",,,,1.0,,,http://www.childrenshomepgh.org/
376,The Closet,40.4939205,-80.0527501,"10 S Fremont Ave, Pittsburgh",1.0,,,,,,http://thecloset724.com/
377,The Container Store,40.5526313,-80.0212657,"8033 McKnight Rd, Pittsburgh",1.0,,,,,,https://www.containerstore.com/locations/showStore.htm?store=PIT&cid=ns:maps:google:main-store:39-pittsburgh
378,The Discount Closet,40.382972,-80.016561,"505 McNeilly Rd, Pittsburgh",1.0,,,,,,
379,The Empress Closet,40.4369503,-79.8782131,"480 Ella St, Pittsburgh",1.0,,,,,,
380,The F.M. Thomas And Jerome Thomas Community Center,40.46306080000001,-79.91298379999999,"401 Paulson Ave, Pittsburgh",,,,,1.0,,
381,The Market on Lincoln Ave,40.4682098,-79.8968617,"1407 Lincoln Ave, Pittsburgh",,1.0,,,,,
382,The Octopus Garden,40.4635711,-79.93683519999999,"135 S Aiken Ave, Pittsburgh",,1.0,,,,,https://www.facebook.com/octopusgardenpittsburgh/
383,The Phlebotomy Training Center,40.446155,-79.954695,"100 Lytton Ave, Pittsburgh",,,,,1.0,,http://www.justphlebotomy.org/
384,The Salvation Army Thrift Store & Donation Center,40.4288509,-79.9902163,"855 E Carson St, Pittsburgh",1.0,,,,,,https://satruck.org/
385,Thornburg Community Center,40.4323089,-80.0831333,"545 Hamilton Rd, Pittsburgh",,,,,1.0,,http://thornburgborough.org/community/community-center/
386,Three Rivers Vintage,40.4286875,-79.9814121,"1716 E Carson St, Pittsburgh",1.0,,,,,,https://www.facebook.com/ThreeRiversVintage
387,Three Rivers Youth,40.4830907,-80.0467456,"2051 Termon Ave, Pittsburgh",,,,1.0,,,http://threeriversyouth.org/
388,Three Rivers Youth,40.4620819,-79.9221572,"6117 Broad St, Pittsburgh",,,,1.0,,,http://www.threeriversyouth.org/
389,Training Inc,40.4392206,-80.0017051,"305 Wood St # 3, Pittsburgh",,,,,1.0,,
390,Treasure House Fashions,40.54449839999999,-80.0157699,"7607 McKnight Rd, Pittsburgh",1.0,,,,,,http://thfashions.org/
391,Troy Hill Citizens Inc,40.46324509999999,-79.9837026,"1619 Lowrie St, Pittsburgh",,1.0,,,1.0,,http://www.troyhillpittsburgh.com/
392,Trwib Inc,40.4414408,-79.99667389999999,"425 Sixth Ave #650, Pittsburgh",,,,,1.0,,https://www.partner4work.org/
393,US Air Force and Space Force Recruiting,40.358985,-80.00093500000001,"M11, Caste Village Mall, Pittsburgh",,,,,1.0,,https://join1usafricpittsburgh.business.site/?utm_source=gmb&utm_medium=referral
394,Unified Positive Effect Garden,40.4200552,-80.000342,"Climax St +, Estella Ave, Pittsburgh",,1.0,,,,,
395,United Methodist Church Union,40.4520866,-80.0188776,"971 Beech Ave, Pittsburgh",,1.0,,,,,https://churchunion.org/
396,United States Department of Health & Human Services,40.3050995,-79.97503619999999,"626 Cochran Mill Rd, Pittsburgh",,1.0,,,,,https://www.alleghenycounty.us/dhs
397,Unity Food Pantry,40.408869,-80.050485,"1146 Greentree Rd, Pittsburgh",,1.0,,,,,http://unitypresbyterianchurch.org/foodpantry/
398,University of Pittsburgh - Bevier Engineering Library,40.4440676,-79.9578544,"G33 Benedum Hall, 3700 O'Hara St, Pittsburgh",,,,,1.0,,https://www.library.pitt.edu/engineering
399,University of Pittsburgh - Frick Fine Arts Library,40.4416574,-79.9512415,"650 Schenley Drive, Pittsburgh",,,,,1.0,,http://www.pitt.edu/
400,University of Pittsburgh - Health Sciences Library,40.44286719999999,-79.9614028,"200 Scaife Hall, 3550 Terrace St, Pittsburgh",,,,,1.0,,https://www.hsls.pitt.edu/
401,University of Pittsburgh - Theodore M Finney Music Library,40.4466255,-79.95230629999999,"Music Building, 28B, Pittsburgh",,,,,1.0,,https://www.library.pitt.edu/music
402,Upmc Vocational Training Center,40.4294644,-79.9880135,"1029 Bingham St, Pittsburgh",,,,,1.0,,https://www.upmc.com/services/behavioral-health/autism/adult/vocational-training
403,Upstream Coding,40.4636674,-79.926716,"224 N Euclid Ave fl 2, Pittsburgh",,,,,1.0,,https://www.upstreamcoding.com/
404,Valley Presbyterian Church Food Pantry - Food Distribution Center,40.47062349999999,-79.9327936,"Black St, Pittsburgh",,1.0,,,,,
405,Valley Refuge Shelter,40.4793269,-80.01533979999999,Pittsburgh,,,,1.0,,,
406,Veterans Place of Washington Boulevard,40.4611197,-79.9065713,"945 Washington Blvd, Pittsburgh",,,,1.0,,,https://www.veteransplaceusa.org/
407,Veterans Services,40.4450029,-79.95642459999999,"4141 Fifth Ave 3rd Floor, Pittsburgh",,1.0,,,,,https://www.alleghenycounty.us/veterans/index.aspx
408,Vietnam Veterans of America,40.4107437,-80.0064056,"890 Saw Mill Run Blvd, Pittsburgh",1.0,,,,,,https://pickupplease.org/donate-in-pittsburgh/
409,Vietnam Veterans of America – Free Donation Pickup in Pittsburgh (Ohio River Blvd),40.495483,-80.065652,"935 Ohio River Blvd, Pittsburgh",1.0,,,,,,https://pickupplease.org/donate-in-pleasant-hill
410,Vietnam Veterans of America – Free Donation Pickup in Pittsburgh (Saw Mill Run),40.410744,-80.006406,"890 Saw Mill Run Blvd, Pittsburgh",1.0,,,,,,https://pickupplease.org/donate-in-pittsburgh
411,Vincentian Schenley Gardens,40.454697,-79.954974,"3890 Bigelow Blvd, Pittsburgh",,1.0,,,,,https://vcs.org/vincentian-schenley-gardens/
412,Wadsworth Hall Community Center,40.4427575,-79.9697218,"480 Oak Hill Dr, Pittsburgh",,,,,1.0,,
413,Walk In Closet Clothing & Accessories,40.4217614,-79.99716819999999,"603 E Warrington Ave, Pittsburgh",1.0,,,,,,
414,Wallace Ave. Soup Kitchen - Food Distribution Center,40.4438507,-79.8816887,"751 Wallace Ave, Pittsburgh",,1.0,,,,,
415,Walled Garden,40.4519856,-79.9187017,Pittsburgh,,1.0,,,,,http://pittsburghpa.gov/
416,Wellsprings,40.43847299999999,-79.99152699999999,"903 Watson St, Pittsburgh",,,,1.0,,,
417,West End Works Neighborhood Employment Center,40.443254,-80.04133499999999,"825 Lorenz Ave, Pittsburgh",,,,,1.0,,https://www.facebook.com/westendworks.nec.3
418,West Penn Community Parking Lot,40.45516509999999,-79.9703664,"Haran St, Pittsburgh",,1.0,,,,,
419,West Penn Community Recreation Center,40.4557734,-79.96936219999999,"450 30th St, Pittsburgh",,,,,1.0,,https://pittsburghpa.gov/citiparks/rec-centers
420,Western Pa Hospital Medical Library,40.4614529,-79.94636369999999,"4800 Friendship Ave, Pittsburgh",,,,,1.0,,
421,Wfsc Pantry - Food Distribution Center,40.4433473,-79.8803719,"807 Wallace Ave, Pittsburgh",,1.0,,,,,
422,Wilkins School Community Center,40.4301837,-79.8930053,"7604 Charleston Ave, Pittsburgh",,,,,1.0,,http://www.wsccpgh.org/
423,Wilkinsburg Community Ministry,40.4414316,-79.8858182,"704 Wood St, Pittsburgh",,1.0,,,,,http://www.wcm15221.org/
424,Wilkinsburg Family Support Center,40.4437117,-79.88054559999999,"807 Wallace Ave Suite 205, Pittsburgh",,,,1.0,,,http://wfsc1994.org/
425,Wilkinsburg Public Library,40.4433702,-79.88583539999999,"605 Ross Ave, Pittsburgh",,,,,1.0,,http://www.wilkinsburglibrary.org/
426,Wilkinsburg WIC Clinic,40.4437708,-79.8805204,"Hosanna House, 807 Wallace Ave #204a, Pittsburgh",,1.0,,,,,"https://www.alleghenycounty.us/Health-Department/Health-Services/Women,-Infants-and-Children/Women-Infants-and-Children-Program.aspx"
427,Womanspace East,40.4380601,-79.9774564,"2000 Fifth Ave, Pittsburgh",,,,1.0,,,https://www.wseinc.org/
428,Women & Girls Foundation-Swp,40.4662502,-79.9644501,"3700 Butler St Studio C, Pittsburgh",,,,1.0,,,http://wgfpa.org/
429,YWCA,40.458441,-79.903288,"6907 Frankstown Ave, Pittsburgh",,,,1.0,,,https://www.ywcapgh.org/contact-us
430,YWCA Greater Pittsburgh,40.4392206,-80.0017051,"305 Wood St, Pittsburgh",,,,1.0,,,http://www.ywcapgh.org/
431,Youth Enrichment Services,40.4623731,-79.9227169,"6031 Broad St Suite 202, Pittsburgh",,,,1.0,,,http://youthenrichmentservices.org/
432,YouthPlaces,40.4526763,-80.0080897,"711 W Commons, Pittsburgh",,,,1.0,,,http://youthplaces.org/
433,Zicknacks Community Thrift Store,40.37824579999999,-79.9902455,"2780 Saw Mill Run Blvd, Pittsburgh",1.0,,,,,,http://www.zicknacks.com/
434,crafton-Ingram Food Pantry - Food Distribution Center,40.433158,-80.06483399999999,"80 Bradford Ave, Pittsburgh",,1.0,,,,,http://www.craftonup.com/
435,professional indexer,40.4491904,-79.90800449999999,"6941 Rosewood St, Pittsburgh",,,,,1.0,,http://www.scindexing.com/contact.html
